evolution$generation,evolution$evaluated,goodShepherdPercentage,proportionMediumHerders,numberofCamps,objective$MSTCattleNEC,objective$totalTrees,evolution$samples,evolution$generated,proportionBigHerders,totalGPSeeno,sheepsTempCamp,MSTCattleNEC,cattlesTempCamp,minTransCattlesLiveWeight,meanTransSheepsLiveWeight,SatisfactionMeanTreesInBaldiol,numberofCamps,proportionMediumHerders,totalGPBaldiol,MSTCaangol,thresholdTreeSatisfaction,SheepNECSatifactionIndex,meanGrass,maxTransSheepsLiveWeight,meanFruitsConsumedSheep,goodShepherdPercentage,minTimePresence,meanSheepsGrassEaten,totalGPCaangol,sumMediumHerder,meanLeavesConsumedCattle,trajSatisfactionSangre,sumLargeHerder,transCattlesWeightGain,MSTSheepNEC,MSTTempsPasse,sumSmallHerder,MSTBaldiol,SatisfactionMeanTreesInSangre,totalTransCattles,MSTSeeno,totalGPSangre,meanCattlesNEC,transSheepsWeightGain,totalCattles,totalTreesOldes,totalSheeps,totalTransSheeps,meanSheepsLiveWeight,MSTTrees,totalGrass,totalTransFoyers,meanSheepsNEC,maxTransCattlesLiveWeight,meanCattlesLiveWeight,treesKilled,meanTransCattlesNEC,SatisfactionMeanTreesInSeeno,decreasingFactor,CattleNECSatifactionIndex,totalLocalFoyers,sheepsWeightGain,SatisfactionMeanTreesInCaangol,totalTrees,meanTransCattlesLiveWeight,meanTransSheepsNEC,totalTreesYoung,avgUBTpercamp,MSTTransSheepNEC,totalFoyers,MSTTransCattleNEC,minTransSheepsLiveWeight,MSTSangre,cattlesWeightGain,meanCattlesGrassEaten,meanLeavesConsumedSheep,meanFruitsConsumedCattle,trajSatisfactionSeeno,trajSatisfactionCaangol,trajSatisfactionBaldiol
910,2819,81.89686080742679,5.100098533933592,83.62990832567733,-0.9626906369486536,-1.0793534E7,2,477,"[46.0,46.0]","[86.0,91.0]","[0.0,0.0]","[0.9617919924745723,0.9635892814227349]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[83.62990832567733,83.62990832567733]","[5.100098533933592,5.100098533933592]","[239.0,224.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[40107.35086309527,43668.36748533617]","[0.0,0.0]","[0.0018152829270358165,3.599497525277594E-17]","[81.89686080742679,81.89686080742679]","[30.0,30.0]","[0.9106593158630101,0.9219856863111645]","[0.0,0.0]","[15.0,14.0]","[0.2992280537583436,1.2527852055147467E-16]","[0.0,0.0]","[105.0,101.0]","[0.0,0.0]","[0.9991698512552178,0.9993979812545062]","[0.0,0.0]","[113.0,113.0]","[1.0,1.0]","[55.0,55.0]","[0.0,0.0]","[1.0,1.0]","[6.0,4.0]","[4.035820707814963,4.10652655875304]","[0.0,0.0]","[4020.0,4088.0]","[0.0,0.0]","[6236.0,5811.0]","[0.0,0.0]","[68.55092851096164,70.91976615237287]","[0.0,0.0]","[2.12167886065774E7,2.3100566399742804E7]","[0.0,0.0]","[4.895887305254984,4.935105111521424]","[0.0,0.0]","[343.99329480854016,348.78239635393555]","[70051.0,50853.0]","[0.0,0.0]","[20.0,20.0]","[10.0,10.0]","[3.0,3.0]","[233.0,228.0]","[0.015100027921927332,0.015853823794018826]","[100.0,100.0]","[1.2524586E7,9062482.0]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[233.0,228.0]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[0.22523540345056145,0.2329640521302244]","[6.252514190225144,6.341921175469011]","[0.044357034408954596,3.117276610748455E-17]","[1.5397616201674495E-11,2.379211835719908E-17]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
910,2819,22.997160395705222,9.33308163141811,110.0,-0.4755775638652351,-5.0852928E7,1,762,"[46.0]","[106.0]","[0.0]","[0.4755775638652351]","[0.0]","[0.0]","[0.0]","[40.0]","[110.0]","[9.33308163141811]","[258.0]","[0.0]","[0.5]","[3.0]","[184.26524998928198]","[0.0]","[1.1519054478129083]","[22.997160395705222]","[30.0]","[0.38297059639709113]","[0.0]","[31.0]","[7.290896037049786]","[367.0]","[137.0]","[0.0]","[0.8559848204368752]","[0.0]","[128.0]","[0.9972602739726028]","[55.0]","[0.0]","[1.0]","[59.0]","[2.4627465551574534]","[0.0]","[5346.0]","[0.0]","[7837.0]","[0.0]","[46.65046345454874]","[0.0]","[97476.31724432994]","[0.0]","[3.514409915526308]","[0.0]","[265.7380931434496]","[777279.0]","[0.0]","[20.0]","[10.0]","[3.0]","[296.0]","[-0.0337499903114352]","[100.0]","[5.0852928E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[296.0]","[0.0]","[0.0]","[0.10054794520547945]","[-0.1868511715792431]","[2.700019696958054]","[1.6268368034125122]","[4.104781041914588]","[3650.0]","[0.0]","[3640.0]"
910,2819,64.11597699212052,3.443327262646388,99.79459543044578,-0.9397430256974303,-1.8534504E7,1,728,"[46.0]","[98.0]","[0.0]","[0.9397430256974303]","[0.0]","[0.0]","[0.0]","[40.0]","[99.79459543044578]","[3.443327262646388]","[264.0]","[0.0]","[0.5]","[3.0]","[26613.55580064129]","[0.0]","[0.22593267131368314]","[64.11597699212052]","[30.0]","[0.6858421559901294]","[0.0]","[2.0]","[4.512807105501453]","[0.0]","[125.0]","[0.0]","[0.9302199780021998]","[0.0]","[147.0]","[1.0]","[55.0]","[0.0]","[1.0]","[35.0]","[3.86756241717451]","[0.0]","[4869.0]","[0.0]","[6991.0]","[0.0]","[62.469140713233934]","[0.0]","[1.4078571018539255E7]","[0.0]","[4.490345760885503]","[0.0]","[338.53622925007994]","[231861.0]","[0.0]","[20.0]","[10.0]","[3.0]","[274.0]","[-0.0012632559520797686]","[100.0]","[1.8534504E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[274.0]","[0.0]","[0.0]","[0.0]","[0.10527839132772641]","[4.85854010136531]","[1.1634795988460087]","[0.4101320907834048]","[3650.0]","[0.0]","[3650.0]"
910,2819,19.030329276720494,7.087609051674293,110.0,-0.8647958419592124,-3.0762382E7,3,533,"[46.0,46.0,46.0]","[108.0,105.0,101.0]","[0.0,0.0,0.0]","[0.6891642916245287,0.8647958419592124,0.8984407992321787]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[40.0,40.0,40.0]","[110.0,110.0,110.0]","[7.087609051674293,7.087609051674293,7.087609051674293]","[263.0,258.0,264.0]","[0.0,0.0,0.0]","[0.5,0.5,0.5]","[3.0,3.0,3.0]","[441.2333123847567,13590.10070497952,28224.370832291712]","[0.0,0.0,0.0]","[1.5660237645695219,0.09906577453401433,3.792940986113199E-9]","[19.030329276720494,19.030329276720494,19.030329276720494]","[30.0,30.0,30.0]","[0.35822336655606857,0.7329926553528073,0.8743320869879627]","[0.0,0.0,0.0]","[18.0,16.0,25.0]","[4.161266173588907,3.4748272276961876,0.6932659845091478]","[197.0,2.0,0.0]","[142.0,134.0,139.0]","[0.0,0.0,0.0]","[0.9210683092764549,0.9144765009029643,0.9077436523863537]","[0.0,0.0,0.0]","[138.0,161.0,150.0]","[1.0,1.0,1.0]","[55.0,55.0,55.0]","[0.0,0.0,0.0]","[1.0,1.0,1.0]","[54.0,50.0,31.0]","[2.375639121636303,3.869136942940087,4.0790059919589705]","[0.0,0.0,0.0]","[5297.0,5368.0,5285.0]","[0.0,0.0,0.0]","[8143.0,7700.0,8218.0]","[0.0,0.0,0.0]","[47.85218171996909,55.68354243777694,60.32883036201578]","[0.0,0.0,0.0]","[233412.4222515354,7189163.272934167,1.4930692170282315E7]","[0.0,0.0,0.0]","[3.7950330098983436,4.30380542256219,4.501271286556006]","[0.0,0.0,0.0]","[260.3117782320175,337.97325736603733,347.20664070982457]","[771776.0,656242.0,454637.0]","[0.0,0.0,0.0]","[20.0,20.0,20.0]","[10.0,10.0,10.0]","[3.0,3.0,3.0]","[298.0,311.0,314.0]","[-0.045768801717547804,-0.002415398548934078,0.010350353760750898]","[100.0,100.0,100.0]","[4.8147035E7,3.0762382E7,1.5952541E7]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[60.0,60.0,60.0]","[0.0,0.0,0.0]","[298.0,311.0,314.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.053972602739726025,5.47945205479452E-4,0.0]","[-0.2655641734326769,0.04622303114986894,0.19634664422664994]","[2.7497267802983307,4.8746026071703215,6.044937868733514]","[1.3553870047351426,0.553678547580201,0.061185997034689306]","[6.196112156466975,0.4348855096331575,1.4370234389923426E-7]","[3650.0,3650.0,3650.0]","[0.0,0.0,0.0]","[3650.0,3650.0,3650.0]"
910,2819,24.606496820575284,16.225805052383972,109.76872728200087,-0.590690922633505,-4.8671041E7,2,361,"[46.0,46.0]","[110.0,105.0]","[0.0,0.0]","[0.38149162861491626,0.7998902166520937]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[109.76872728200087,109.76872728200087]","[16.225805052383972,16.225805052383972]","[259.0,261.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[183.3162164359595,455.59946513260024]","[0.0,0.0]","[0.9229081643067961,0.7157301963091118]","[24.606496820575284,24.606496820575284]","[30.0,30.0]","[0.38584517198502727,0.374722078761261]","[0.0,0.0]","[61.0,43.0]","[4.636105875033469,4.396682736725459]","[632.0,367.0]","[130.0,132.0]","[0.0,0.0]","[0.7429934043632674,0.9165529971825512]","[0.0,0.0]","[133.0,107.0]","[1.0,1.0]","[55.0,55.0]","[0.0,0.0]","[1.0,1.0]","[59.0,58.0]","[2.3254479069107226,2.7950804300907435]","[0.0,0.0]","[5358.0,5359.0]","[0.0,0.0]","[7675.0,7669.0]","[0.0,0.0]","[45.902222852852276,50.46425953131897]","[0.0,0.0]","[96974.27849462222,241012.11705514483]","[0.0,0.0]","[3.2954789021181714,3.9301827517318544]","[0.0,0.0]","[260.9086191972789,283.926777824033]","[683397.0,604416.0]","[0.0,0.0]","[20.0,20.0]","[10.0,10.0]","[3.0,3.0]","[324.0,282.0]","[-0.03607489180867529,-0.05161788851952162]","[100.0,100.0]","[5.1953242E7,4.538884E7]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[324.0,282.0]","[0.0,0.0]","[0.0,0.0]","[0.17315068493150684,0.10054794520547945]","[-0.21278288959268918,-0.288025643773616]","[2.6718388040802656,2.631035172299385]","[1.5298117161252107,0.913784370398823]","[4.109136032451543,5.147212389772547]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
910,2819,32.3722371448597,1.33683941452993,109.97917154157939,-0.933486301369863,-2.138876E7,1,799,"[46.0]","[99.0]","[0.0]","[0.933486301369863]","[0.0]","[0.0]","[0.0]","[40.0]","[109.97917154157939]","[1.33683941452993]","[252.0]","[0.0]","[0.5]","[3.0]","[24282.965038754155]","[0.0]","[0.0023413830696344855]","[32.3722371448597]","[30.0]","[0.8412730935269963]","[0.0]","[3.0]","[0.5528282824720938]","[0.0]","[133.0]","[0.0]","[0.9014726027397261]","[0.0]","[184.0]","[1.0]","[55.0]","[0.0]","[1.0]","[35.0]","[4.021428074558448]","[0.0]","[5377.0]","[0.0]","[7635.0]","[0.0]","[57.878370739491125]","[0.0]","[1.2845688505500939E7]","[0.0]","[4.3608801725631166]","[0.0]","[344.4936877951274]","[326332.0]","[0.0]","[20.0]","[10.0]","[3.0]","[320.0]","[0.005528680221692002]","[100.0]","[2.138876E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[320.0]","[0.0]","[0.0]","[0.0]","[0.16681970182997974]","[5.823590099674557]","[0.19845600156369247]","[0.05995586954997263]","[3650.0]","[0.0]","[3650.0]"
910,2819,57.02480141033078,7.683639669602233,91.34642738581181,-0.9510444528669663,-1.6714691E7,1,642,"[46.0]","[95.0]","[0.0]","[0.9510444528669663]","[0.0]","[0.0]","[0.0]","[40.0]","[91.34642738581181]","[7.683639669602233]","[254.0]","[0.0]","[0.5]","[3.0]","[35047.23043576216]","[0.0]","[0.19326294128239882]","[57.02480141033078]","[30.0]","[0.8043710531501537]","[0.0]","[17.0]","[1.4114324071017206]","[0.0]","[111.0]","[0.0]","[0.9956846607829336]","[0.0]","[125.0]","[1.0]","[55.0]","[0.0]","[1.0]","[10.0]","[4.028692160788578]","[0.0]","[4471.0]","[0.0]","[6311.0]","[0.0]","[68.18181346983262]","[0.0]","[1.8539984900518194E7]","[0.0]","[4.902351987761372]","[0.0]","[344.1636924329897]","[194016.0]","[0.0]","[20.0]","[10.0]","[3.0]","[253.0]","[0.005221660938857506]","[100.0]","[1.6714691E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[253.0]","[0.0]","[0.0]","[0.0]","[0.1383743651774611]","[5.514891955643585]","[0.18109743822101101]","[0.04882401318142721]","[3650.0]","[0.0]","[3650.0]"
910,2819,27.03395583677515,20.0,98.22396083910392,-0.9398691641039978,-1.8032938E7,1,395,"[46.0]","[100.0]","[0.0]","[0.9398691641039978]","[0.0]","[0.0]","[0.0]","[40.0]","[98.22396083910392]","[20.0]","[250.0]","[0.0]","[0.5]","[3.0]","[25095.73613226633]","[0.0]","[0.38814533347768265]","[27.03395583677515]","[30.0]","[0.7812906883112718]","[0.0]","[57.0]","[2.8465136694421487]","[0.0]","[117.0]","[0.0]","[0.993512999720436]","[0.0]","[71.0]","[1.0]","[55.0]","[0.0]","[1.0]","[24.0]","[3.975818828286215]","[0.0]","[4748.0]","[0.0]","[7158.0]","[0.0]","[64.75987740479718]","[0.0]","[1.3275644413968898E7]","[0.0]","[4.7700942015991075]","[0.0]","[342.358840191662]","[294271.0]","[0.0]","[20.0]","[10.0]","[3.0]","[245.0]","[0.006606531304599914]","[100.0]","[1.8032938E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[245.0]","[0.0]","[0.0]","[0.0]","[0.1409212632332576]","[5.4320536996522915]","[0.6813014485084548]","[0.49798895864449166]","[3650.0]","[0.0]","[3650.0]"
910,2819,0.0,13.603687876676599,104.70529993160784,-0.7742359102186531,-4.7179112E7,2,543,"[46.0,46.0]","[103.0,105.0]","[0.0,0.0]","[0.7794102788302729,0.7690615416070333]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[104.70529993160784,104.70529993160784]","[13.603687876676599,13.603687876676599]","[257.0,261.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[198.40938010950367,125.80355062531122]","[0.0,0.0]","[0.7861986869868549,0.9491499586254584]","[0.0,0.0]","[30.0,30.0]","[0.4416570602749156,0.39139997402018095]","[0.0,0.0]","[39.0,33.0]","[8.08414238902733,4.2397565227978955]","[367.0,367.0]","[129.0,130.0]","[0.0,0.0]","[0.8656271252307394,0.9337446329993866]","[0.0,0.0]","[114.0,105.0]","[1.0,1.0]","[55.0,55.0]","[0.0,0.0]","[1.0,1.0]","[58.0,60.0]","[2.8307963047104674,2.767782059242844]","[0.0,0.0]","[5098.0,5081.0]","[0.0,0.0]","[7401.0,7508.0]","[0.0,0.0]","[46.300515656906384,53.91729249403803]","[0.0,0.0]","[104958.56207792749,66550.07828078954]","[0.0,0.0]","[3.545563868644541,4.143570276150325]","[0.0,0.0]","[283.0836323774949,280.89224655099434]","[723370.0,765018.0]","[0.0,0.0]","[20.0,20.0]","[10.0,10.0]","[3.0,3.0]","[282.0,268.0]","[-0.030297914032638967,-0.05193168411421362]","[100.0,100.0]","[4.7057522E7,4.7300702E7]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[282.0,268.0]","[0.0,0.0]","[0.0,0.0]","[0.10054794520547945,0.10054794520547945]","[-0.26064078188519835,-0.26591573962934445]","[2.5642051794042833,2.9830457027401587]","[1.8433269945557822,1.1619265118763553]","[2.8317392682900073,4.003414537174036]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
910,2819,48.80916429386528,8.713343546787247,100.70598404695781,-0.9352794962439239,-1.7652162E7,3,0,"[46.0,46.0,46.0]","[106.0,99.0,100.0]","[0.0,0.0,0.0]","[0.8497302640869934,0.9352794962439239,0.9359512937595129]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[40.0,40.0,40.0]","[100.70598404695781,100.70598404695781,100.70598404695781]","[8.713343546787247,8.713343546787247,8.713343546787247]","[268.0,255.0,257.0]","[0.0,0.0,0.0]","[0.5,0.5,0.5]","[3.0,3.0,3.0]","[17426.171767327905,27515.376311280656,34729.392074732765]","[0.0,0.0,0.0]","[0.04102816731032,0.05035370450580884,7.214322796965462E-18]","[48.80916429386528,48.80916429386528,48.80916429386528]","[30.0,30.0,30.0]","[0.7899502936781398,0.8560388110892145,0.9222153992337733]","[0.0,0.0,0.0]","[28.0,15.0,24.0]","[2.7992488227230967,2.327488412098461,2.3139903234092255E-16]","[732.0,0.0,0.0]","[124.0,125.0,123.0]","[0.0,0.0,0.0]","[0.9501652308995904,0.9798442333186037,0.9472618485277909]","[0.0,0.0,0.0]","[139.0,108.0,114.0]","[1.0,1.0,1.0]","[55.0,55.0,55.0]","[0.0,0.0,0.0]","[1.0,1.0,1.0]","[57.0,28.0,24.0]","[3.928821817670049,4.045028351396122,4.0973317810531915]","[0.0,0.0,0.0]","[4885.0,4968.0,4951.0]","[0.0,0.0,0.0]","[7233.0,6714.0,6820.0]","[0.0,0.0,0.0]","[65.7259366636813,61.86249439088728,63.25807788359275]","[0.0,0.0,0.0]","[9218444.864916462,1.4555634068667466E7,1.8371848407533616E7]","[0.0,0.0,0.0]","[4.666032947373476,4.737042493851296,4.815780935278519]","[0.0,0.0,0.0]","[339.3836730317502,345.7842589236184,348.2701106100045]","[404991.0,246825.0,270395.0]","[0.0,0.0,0.0]","[20.0,20.0,20.0]","[10.0,10.0,10.0]","[3.0,3.0,3.0]","[291.0,248.0,261.0]","[0.01015050746908606,0.01309889028940252,0.017465841180263748]","[100.0,100.0,100.0]","[2.8006225E7,1.7652162E7,1.3609985E7]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[60.0,60.0,60.0]","[0.0,0.0,0.0]","[291.0,248.0,261.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.20054794520547944,0.0,0.0]","[0.16401548285288117,0.21146785674544197,0.2371653249715684]","[5.462943207938466,5.984277657308592,6.345524553021072]","[0.7141615364082591,0.5093460635063644,5.444728119858779E-17]","[0.4776643787228627,0.2668928985228957,1.3868669794307894E-25]","[3650.0,3650.0,3650.0]","[0.0,0.0,0.0]","[3650.0,3650.0,3650.0]"
910,2819,33.95403402055002,0.7591990454944132,109.2795913816063,-0.9147132420091324,-2.404677E7,1,283,"[46.0]","[99.0]","[0.0]","[0.9147132420091324]","[0.0]","[0.0]","[0.0]","[40.0]","[109.2795913816063]","[0.7591990454944132]","[263.0]","[0.0]","[0.5]","[3.0]","[22380.278925379203]","[0.0]","[0.08909960320161366]","[33.95403402055002]","[30.0]","[0.8322502665037178]","[0.0]","[0.0]","[1.4717278782349752]","[2.0]","[138.0]","[0.0]","[0.9413360730593607]","[0.0]","[162.0]","[1.0]","[55.0]","[0.0]","[1.0]","[44.0]","[4.018802209958285]","[0.0]","[5353.0]","[0.0]","[7523.0]","[0.0]","[61.24470242211073]","[0.0]","[1.1839167551525595E7]","[0.0]","[4.628137051998826]","[0.0]","[343.8946450133756]","[382526.0]","[0.0]","[20.0]","[10.0]","[3.0]","[300.0]","[0.011918937592061465]","[100.0]","[2.404677E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[300.0]","[0.0]","[0.0]","[5.47945205479452E-4]","[0.17845279238258932]","[5.6642137423405945]","[0.6883605293057162]","[0.873587008376357]","[3650.0]","[0.0]","[3650.0]"
910,2819,13.219610124131837,20.0,93.56747760782794,-0.9399353705655076,-1.65814865E7,2,230,"[46.0,46.0]","[99.0,98.0]","[0.0,0.0]","[0.935593607305936,0.944277133825079]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[93.56747760782794,93.56747760782794]","[20.0,20.0]","[241.0,246.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[24738.54838231846,34141.87509091446]","[0.0,0.0]","[0.025525781390826494,0.003369622210734025]","[13.219610124131837,13.219610124131837]","[30.0,30.0]","[0.7639806635402512,0.8857791275620825]","[0.0,0.0]","[50.0,52.0]","[2.8465892685645278,1.1936808238779628]","[0.0,0.0]","[118.0,108.0]","[0.0,0.0]","[0.966425902864259,0.9961085353003161]","[0.0,0.0]","[96.0,100.0]","[1.0,1.0]","[55.0,55.0]","[0.0,0.0]","[1.0,1.0]","[15.0,28.0]","[3.9323030660051623,4.096755171578252]","[0.0,0.0]","[4507.0,4574.0]","[0.0,0.0]","[6919.0,6500.0]","[0.0,0.0]","[63.00805010382526,68.51794864775098]","[0.0,0.0]","[1.308669209424646E7,1.8061051923093744E7]","[0.0,0.0]","[4.6412382102967955,4.9759066664718]","[0.0,0.0]","[341.34062632619583,347.64316170519714]","[357818.0,322079.0]","[0.0,0.0]","[20.0,20.0]","[10.0,10.0]","[3.0,3.0]","[264.0,260.0]","[0.0010019345650191338,0.01780463175414001]","[100.0,100.0]","[2.1417462E7,1.1745511E7]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[264.0,260.0]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[0.11543086247629245,0.23553816075714507]","[5.28017014425613,6.116984449425027]","[0.620307418811461,0.5466191668699493]","[0.016640735547818933,0.01689295656498956]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
910,2819,58.096486438651105,4.068337515085236,104.7559934257554,-0.7431053513353701,-4.7510618E7,1,799,"[46.0]","[106.0]","[0.0]","[0.7431053513353701]","[0.0]","[0.0]","[0.0]","[40.0]","[104.7559934257554]","[4.068337515085236]","[270.0]","[0.0]","[0.5]","[3.0]","[516.5499802017671]","[0.0]","[1.0786707607853663]","[58.096486438651105]","[30.0]","[0.42775651559363626]","[0.0]","[9.0]","[6.847190917430108]","[367.0]","[133.0]","[0.0]","[0.9070079826549718]","[0.0]","[136.0]","[1.0]","[55.0]","[0.0]","[1.0]","[58.0]","[2.7990614239739484]","[0.0]","[5118.0]","[0.0]","[7295.0]","[0.0]","[51.729823287262285]","[0.0]","[273254.9395267354]","[0.0]","[4.0178202930281355]","[0.0]","[279.95915737460257]","[445224.0]","[0.0]","[20.0]","[10.0]","[3.0]","[278.0]","[-0.028198683499175852]","[100.0]","[4.7510618E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[278.0]","[0.0]","[0.0]","[0.10054794520547945]","[-0.16727099102574156]","[3.0489610286282733]","[2.377898761129694]","[4.749635795223512]","[3650.0]","[0.0]","[3650.0]"
