evolution$generation,evolution$evaluated,goodShepherdPercentage,proportionMediumHerders,proportionBigHerders,retardJours,objective$MSTCattleNEC,objective$totalTrees,evolution$samples,evolution$generated,proportionBigHerders,totalGPSeeno,sheepsTempCamp,MSTCattleNEC,cattlesTempCamp,minTransCattlesLiveWeight,meanTransSheepsLiveWeight,SatisfactionMeanTreesInBaldiol,numberofCamps,proportionMediumHerders,totalGPBaldiol,MSTCaangol,thresholdTreeSatisfaction,SheepNECSatifactionIndex,meanGrass,MSTSheepLeft,maxTransSheepsLiveWeight,meanFruitsConsumedSheep,goodShepherdPercentage,minTimePresence,meanSheepsGrassEaten,totalGPCaangol,sumMediumHerder,meanLeavesConsumedCattle,trajSatisfactionSangre,sumLargeHerder,transCattlesWeightGain,MSTSheepNEC,MSTTempsPasse,sumSmallHerder,MSTBaldiol,SatisfactionMeanTreesInSangre,totalTransCattles,retardJours,MSTSeeno,totalGPSangre,meanCattlesNEC,transSheepsWeightGain,totalCattles,totalTreesOldes,totalSheeps,totalTransSheeps,meanSheepsLiveWeight,MSTTrees,totalGrass,MSTCattleLeft,totalTransFoyers,meanSheepsNEC,maxTransCattlesLiveWeight,meanCattlesLiveWeight,treesKilled,meanTransCattlesNEC,SatisfactionMeanTreesInSeeno,decreasingFactor,CattleNECSatifactionIndex,totalLocalFoyers,sheepsWeightGain,SatisfactionMeanTreesInCaangol,totalTrees,meanTransCattlesLiveWeight,meanTransSheepsNEC,totalTreesYoung,avgUBTpercamp,MSTTransSheepNEC,totalFoyers,MSTTransCattleNEC,minTransSheepsLiveWeight,MSTSangre,cattlesWeightGain,meanCattlesGrassEaten,meanLeavesConsumedSheep,meanFruitsConsumedCattle,trajSatisfactionSeeno,trajSatisfactionCaangol,trajSatisfactionBaldiol
18370,18370,23.28355987707782,43.99236840232496,30.14608720888965,41.780410591913686,0.5912065331928346,4.7695613E7,1,18106,"[30.14608720888965]","[107.0]","[65.0]","[0.5912065331928346]","[83.0]","[0.0]","[0.0]","[40.0]","[80.0]","[43.99236840232496]","[83.0]","[0.0]","[0.5]","[3.0]","[40546.550251278095]","[0.9090909090909091]","[0.0]","[1.382697098979102E-19]","[23.28355987707782]","[40.0]","[0.9252326721240223]","[0.0]","[127.0]","[7.78316989584195E-18]","[1097.0]","[76.0]","[0.0]","[0.3602613277133825]","[0.0]","[57.0]","[1.0]","[50.0]","[0.0]","[41.780410591913686]","[1.0]","[221.0]","[3.9441290202348958]","[0.0]","[3854.0]","[0.0]","[5912.0]","[0.0]","[39.148827465168225]","[0.0]","[2.1449125082926128E7]","[0.9090909090909091]","[0.0]","[2.9203666711151395]","[0.0]","[339.9426052254191]","[143146.0]","[0.0]","[30.0]","[8.0]","[3.0]","[260.0]","[0.0095717476168438]","[70.0]","[4.7695613E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[260.0]","[0.0]","[0.0]","[0.30054794520547945]","[0.20130448252175648]","[6.347408148714306]","[1.9544266526151357E-18]","[2.5561982256028054E-20]","[3650.0]","[0.0]","[3650.0]"
18370,18370,7.217620006355507,13.696326773478617,6.5163582994734455,2.8034625783720646,0.24353335318642047,4.7289853E7,2,18133,"[6.5163582994734455,6.5163582994734455]","[104.0,108.0]","[251.0,154.0]","[0.24353335318642047,0.579738721108584]","[298.0,195.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[80.0,80.0]","[13.696326773478617,13.696326773478617]","[81.0,83.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[4559.865089239067,38362.00514917149]","[0.9090909090909091,0.9090909090909091]","[0.0,0.0]","[6.520075023685401E-9,1.81802600009514E-20]","[7.217620006355507,7.217620006355507]","[40.0,40.0]","[0.8009509993000565,0.9258476806160498]","[0.0,0.0]","[78.0,66.0]","[0.12182072927441809,8.125189011077288E-18]","[1097.0,1462.0]","[36.0,42.0]","[0.0,0.0]","[0.28016478062338696,0.28337758502142063]","[0.0,0.0]","[438.0,410.0]","[1.0,1.0]","[50.0,50.0]","[0.0,0.0]","[2.8034625783720646,2.8034625783720646]","[1.0,1.0]","[252.0,229.0]","[2.3724633749616277,3.9552273318691316]","[0.0,0.0]","[3954.0,3936.0]","[0.0,0.0]","[5287.0,5400.0]","[0.0,0.0]","[34.89452163964973,36.40678485112983]","[0.0,0.0]","[2412168.632207462,2.0293500723911725E7]","[0.9090909090909091,0.9090909090909091]","[0.0,0.0]","[2.3820811642021784,2.600349264627748]","[0.0,0.0]","[263.1506565937141,341.52876186960566]","[1013224.0,402623.0]","[0.0,0.0]","[30.0,30.0]","[8.0,8.0]","[3.0,3.0]","[552.0,518.0]","[-0.00272612021838093,0.008868131573989338]","[70.0,70.0]","[6.7721557E7,4.7289853E7]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[552.0,518.0]","[0.0,0.0]","[0.0,0.0]","[0.30054794520547945,0.4005479452054794]","[0.16155605169559836,0.2082978361761247]","[5.960224316218826,6.352192705926244]","[0.040302222047326315,1.6647914696009549E-18]","[2.1179866970447754E-8,2.252699016031281E-19]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
18370,18370,74.02453421240128,29.124030630006782,25.7230959288704,37.744303199348145,0.03611113800280749,8.7248216E7,1,18259,"[25.7230959288704]","[108.0]","[8.0]","[0.03611113800280749]","[11.0]","[0.0]","[0.0]","[40.0]","[80.0]","[29.124030630006782]","[83.0]","[0.0]","[0.5]","[3.0]","[993.0174837653558]","[0.9090909090909091]","[0.0]","[0.004158655670578867]","[74.02453421240128]","[40.0]","[0.48214723846703345]","[1.0]","[87.0]","[0.4281328878491499]","[1097.0]","[76.0]","[0.0]","[0.2567975216612614]","[0.0]","[120.0]","[1.0]","[50.0]","[0.0]","[37.744303199348145]","[1.0]","[289.0]","[1.516265936146632]","[0.0]","[3910.0]","[0.0]","[5562.0]","[0.0]","[34.540047984936095]","[0.0]","[525306.248911873]","[0.9090909090909091]","[0.0]","[2.319175601214097]","[0.0]","[222.76473392995968]","[256220.0]","[0.0]","[30.0]","[8.0]","[3.0]","[283.0]","[-0.031062318866621707]","[70.0]","[8.7248216E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[283.0]","[0.0]","[0.0]","[0.30054794520547945]","[-0.003347849983612838]","[4.544038258288698]","[0.07915783931402813]","[0.006826126835632143]","[3650.0]","[0.0]","[3650.0]"
