CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,TreeDensitySatisfactionOldes,cattlesWeightGain,goodShepherdPercentage,interfaceNumberOfCampI,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsLiveWeight,meanSheepsNEC,openmole$experiment,proportionBigHerders,proportionMediumHerders,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,totalCattles,totalFoyers,totalGrass,totalSheeps,totalTrees,totalTreesOldes,totalTreesYoung
3.0,1.0,0.9005479452054794,0.45092801992528025,0.9005479452054794,1.0,0.4494226650062267,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.17629804131368906,100.0,40.0,203.31318972272447,3.00889639675459,1360.0405856565983,342.0603799139964,112370.77124089128,3098.222872166687,704.2855458129618,39.8758961339357,3.247026904827955,6811,30.0,50.0,-0.054574545454545494,76.0,134.0,65.0,4257.0,275.0,5.944413798643151E7,6588.0,8.1074537E7,115296.62759924386,37963.36672967864
3.0,1.0,0.9005479452054794,0.40011819313936375,0.9005479452054794,1.0,0.3527014604324692,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.29327944845420434,100.0,90.0,217.33862672580292,3.2874944611957955,4033.5874922483513,1230.4421655451042,86306.73373094843,8999.38482513043,2151.0072974463806,39.85529108499252,3.2414314675673976,8616,50.0,20.0,-0.0695740201650597,318.0,111.0,176.0,12832.0,605.0,4.565626214367175E7,19453.0,6.6443443E7,94477.4877126654,31124.48393194707
3.0,1.0,0.8005479452054794,0.42200183327392166,0.9005479452054794,1.0,0.4534032693384937,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.23973068074453305,80.0,80.0,214.59651611549856,3.2364389396340347,2219.9917561800803,766.8800523430614,96324.30605984689,6060.358737410649,1789.9619037200632,39.87456865189529,3.24595604491455,8287,40.0,30.0,-0.06019534159688806,220.0,171.0,147.0,10013.0,538.0,5.095555790565897E7,15699.0,6.1860241E7,89744.23629489604,27193.837429111532
3.0,1.0,0.9005479452054794,0.45170198088104857,0.9005479452054794,1.0,0.4620774613186163,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.18649729483254626,80.0,40.0,216.73086180971347,3.210533898996326,1120.8646655849761,323.0118260392249,111180.74338787267,3068.5574141869683,874.4261244593326,39.88200685445335,3.2484225907881386,8283,40.0,30.0,-0.052337401009019756,108.0,87.0,83.0,4939.0,278.0,5.88146132521846E7,7531.0,6.9934195E7,101325.011342155,30875.735349716448
3.0,1.0,0.9005479452054794,0.42206493092762604,0.9005479452054794,1.0,0.47398013264212685,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.15583832975089004,80.0,70.0,217.52922003306594,3.2698661681405636,1931.3348818770687,529.5207915727564,103315.21021904108,5890.477171457533,1483.4573053412048,39.94147235729406,3.2570730524025673,8278,40.0,20.0,-0.031142464658925253,202.0,91.0,180.0,8815.0,473.0,5.465374620587272E7,13067.0,6.4723487E7,93883.13232514178,28467.50472589792
3.0,1.0,0.9005479452054794,0.44496205775105946,0.9005479452054794,1.0,0.45924509707302646,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.22220473903764923,80.0,40.0,213.6267869842729,3.1440194238266854,1478.1856778871647,353.7804959712659,110087.72846352868,3705.7740711783845,949.7608468679043,39.68167834685061,3.2200585325318483,8275,40.0,20.0,-0.05635225512274601,122.0,49.0,107.0,5359.0,278.0,5.823640835720664E7,7795.0,7.146132E7,103739.76559546313,31347.79584120983
3.0,1.0,0.9005479452054794,0.47295372766870775,0.9005479452054794,1.0,0.4935319739915409,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.15865300584982528,80.0,30.0,209.1999389587478,3.0170670592111497,1161.4930240875906,303.3246190209034,115394.3190107504,2387.1861753287644,703.1677894187335,39.7862730750784,3.2397795755187424,8266,40.0,10.0,-0.039884224663971804,91.0,22.0,104.0,3720.0,217.0,6.104359475668693E7,5852.0,7.3456664E7,106101.72211720227,32757.7561436673
3.0,1.0,0.8005479452054794,0.4169812089423028,0.9005479452054794,1.0,0.4506472475429037,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.23429539427067236,80.0,80.0,219.46479816623867,3.313335700741761,2547.51429072208,692.2524323953966,98816.59219686182,6399.648825816349,1626.2317251420423,39.88466455894693,3.24648925358216,8263,40.0,0.0,-0.05807657582388648,223.0,0.0,315.0,9796.0,538.0,5.227397727213985E7,13991.0,6.3091928E7,91397.57466918715,27868.82986767486
3.0,1.0,0.9005479452054794,0.4448506947866364,0.9005479452054794,1.0,0.4200817975756381,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2604917739861018,100.0,40.0,191.48033617864246,2.7517088364423152,2249.2211277138877,621.299964792101,106592.88669764697,4513.812982565285,1083.7405147556572,39.8562189185887,3.2417534254483176,8635,50.0,50.0,-0.07110597537618665,131.0,147.0,0.0,5934.0,278.0,5.638763706305524E7,8942.0,7.7944713E7,111228.02079395085,36115.4820415879
3.0,1.0,0.9005479452054794,0.43990404646171327,0.9005479452054794,1.0,0.41485007259642703,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2028130681560717,100.0,30.0,210.85532374413384,3.117091292955373,1719.0207192536889,483.7424605315242,111488.54281693847,3235.7840349386765,868.4375059348673,39.819141566144935,3.2325313008335006,8626,50.0,40.0,-0.06445982098764198,119.0,82.0,16.0,4807.0,217.0,5.89774391501604E7,7430.0,8.1755613E7,116466.52930056711,38080.94328922495
